"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Base",121,532.46,-26.68,173.69,365.95
"Alt com blocks",122,536.16,-26.64,177.26,365.84
"No blocks",114,563.52,-20.56,196.94,366.46
"ROV and CCFRP Domed",123,532.08,-26.73,173.55,365.79
"Rec Domed",123,532.42,-26.69,173.58,365.95
"ROV and CCFRP and Rec Domed",125,531.84,-26.82,173.33,365.76
"Com Domed",123,531.62,-26.68,172.71,366.09
"All Domed",127,529.53,-27.18,170.82,366.6
"Alt rec blocks domed",128,531.94,-26.91,173.29,366.14
"Alt rec blocks, ROV and CCFRP domed",130,531.26,-27.01,172.86,365.77
"All com block asymptotic",120,535.41,-26.49,175.99,365.41
