year,month,fleet,obs,logse
2004,7,NA,0.170963121,0.905463946
2005,7,NA,0.391063074,0.286062354
2006,7,NA,0.737667151,0.14421008
2007,7,NA,0.812217463,0.158634269
2008,7,NA,0.607478519,0.166451164
2009,7,NA,0.556152894,0.139996858
2010,7,NA,0.229739581,0.362007584
2011,7,NA,0.075004493,0.527683006
2012,7,NA,0.227052167,0.386476169
2013,7,NA,0.145752771,0.398715267
2014,7,NA,0.110018058,0.369841557
2015,7,NA,0.23630338,0.199448348
2016,7,NA,0.363738353,0.166774304
2017,7,NA,0.141393472,0.160716211
2018,7,NA,0.160758342,0.155893275
2019,7,NA,0.154956341,0.174877383
2021,7,NA,0.235292983,0.171674405
2022,7,NA,0.16979381,0.165103377
