"year","month","fleet","sex","partition","Nsamp","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50"
2015,7,"rov",0,0,117,57,0,0,1,1,4,3,7,7,1,6,5,6,11,18,16,9,8,8,4,1,1
2020,7,"rov",0,0,470,184,6,11,13,24,21,22,18,16,10,25,35,64,51,51,51,23,16,9,3,1,0
