"year","month","fleet","sex","partition","input_n","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66"
1978,"7","com_lan",0,0,1.276,0,0,0,0,0,0,0,0,0,46.8148,46.8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,"7","com_lan",0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.4865,0,0,0,0,0,0,0,0,0,0,0
1987,"7","com_lan",0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,46.8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"7","com_lan",0,0,28.804,0,0,0,0,0,0,1210.0527,2022.4007,2654.464,3700.0464,5488.0885,7471.1055,7580.3776,5363.002,3854.5133,3700.0464,1155.9788,0,343.6307,0,0,0,0,0,0,0,0,0
1992,"7","com_lan",0,0,67.88,0,0,0,0,15.5534,107.4647,291.7022,299.739,821.6288,556.2337,717.8643,1352.705,420.5396,474.6905,299.441,195.0855,250.6037,13.8425,0,0,0,0,0,0,0,0,0,0
1993,"7","com_lan",0,0,27.386,0,0,0,89.9908,0,0,119.7842,320.1424,422.0075,792.5891,833.9266,1055.0978,724.5548,282.7603,345.4325,274.4683,0,154.9641,0,0,0,0,0,0,0,0,0,0
1994,"7","com_lan",0,0,60.606,21.7041,0,26.832,100.1447,158.766,308.5811,334.6054,771.2786,1702.804,2909.8785,5060.9592,4526.3676,5865.5574,5377.4173,2226.1773,1730.7815,796.4524,423.6028,190.8724,0,0,0,0,0,0,0,0,0
1995,"7","com_lan",0,0,34.388,0,0,0,0,16.859,101.839,254.2551,239.4395,456.8374,473.6503,210.7243,122.4885,1070.1925,108.9856,408.6006,140.6726,125.6423,24.2561,14.2491,0,0,0,0,0,0,0,0,0
1996,"7","com_lan",0,0,40.216,0,0,0,0,271.2007,723.902,1180.6548,1432.0038,2403.544,1747.7928,2146.5981,2113.2635,1769.1769,1043.2491,641.1488,193.0065,0,5.6719,0,0,0,0,0,0,0,0,0,0
1997,"7","com_lan",0,0,41.7,0,0,0,0,0,1166.0331,1108.2744,939.4062,1653.055,2614.9095,2897.2529,2180.3893,5721.9628,1811.9164,830.6322,984.2059,734.0549,352.4265,14.6009,0,0,0,0,0,0,0,0,0
1998,"7","com_lan",0,0,5.208,0,0,0,0,0,0,0,0,0,72.7941,66.5546,66.5546,199.6639,139.3488,436.7648,72.7941,72.7941,0,0,0,0,0,0,0,0,0,0,0
1999,"7","com_lan",0,0,130.04,0,0,0,0,7.2374,281.0626,152.103,260.7199,614.1017,451.8732,783.5299,595.7066,743.6625,594.1891,454.128,171.2841,35.0199,40.7582,0,0,0,0,0,0,0,0,0,0
2000,"7","com_lan",0,0,17.658,0,0,0,0,0,0,66.5546,753.8161,698.5888,554.622,266.2185,421.5127,864.9754,421.5127,388.2354,66.5546,0,116.4706,0,0,0,0,0,0,0,0,0,0
2001,"7","com_lan",0,0,77.436,0,0,0,0,0,56.8628,56.8628,361.8539,902.05,1101.0696,1222.5492,1899.6024,1336.2747,1356.952,824.5099,248.1284,170.5883,28.4314,0,0,28.4314,0,0,0,0,0,0,0
2002,"7","com_lan",0,0,8.346,0,0,0,0,0,0,66.5546,0,133.1093,133.1093,199.6639,199.6639,410.1854,66.5546,177.479,66.5546,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","com_lan",0,0,5.932,0,0,0,0,0,0,0,0,0,66.5546,0,66.5546,457.5631,840.2523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","com_lan",0,0,4.208,0,0,0,0,0,0,0,0,0,47.9257,95.8514,95.8514,239.6285,735.1872,439.4822,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","com_lan",0,0,5.622,0,0,0,0,0,0,0,0,66.5546,0,66.5546,399.3278,399.3278,199.6639,133.1093,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","com_lan",0,0,39.044,0,0,0,0,0,36.9076,0,0,164.2752,340.9898,1052.0535,1088.9612,1783.967,1137.1738,422.6287,137.499,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7","com_lan",0,0,31.904,0,0,0,0,0,0,0,0,0,88.2694,264.8082,617.8859,1592.7356,1145.0042,649.2521,466.329,96.5967,0,0,0,0,0,0,0,0,0,0,0
2009,"7","com_lan",0,0,15.382,0,0,0,0,0,0,0,0,0,0,0,40.5794,121.7382,223.1866,324.6351,40.5794,40.5794,0,0,0,0,0,0,0,0,0,0,0
2010,"7","com_lan",0,0,8.208,0,0,0,0,0,0,0,0,0,37.6515,37.6515,0,0,112.9545,188.2575,37.6515,188.2575,0,0,0,0,0,0,0,0,0,0,0
2011,"7","com_lan",0,0,5.966,0,0,0,0,0,0,0,0,0,0,0,0,0,199.6639,66.5546,66.5546,133.1093,0,0,0,0,0,0,0,0,0,0,0
2012,"7","com_lan",0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5546,465.8825,199.6639,266.2185,0,0,0,0,0,0,0,0,0,0,0
2013,"7","com_lan",0,0,6.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7126,187.9942,53.7126,26.8563,0,0,0,0,26.8563,0,0,0,0,0
2014,"7","com_lan",0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,51.9827,51.9827,0,0,103.9653,51.9827,0,0,0,0,0,0,0,0,0,0
2015,"7","com_lan",0,0,16.76,0,0,0,0,0,0,0,0,0,0,0,0,31.2942,156.4709,125.1767,62.5884,31.2942,156.4709,31.2942,31.2942,0,0,0,0,0,0,0,0
2016,"7","com_lan",0,0,12.208,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0643,21.0421,178.8582,124.1486,84.1686,0,0,0,0,0,0,0,0,0,0
2017,"7","com_lan",0,0,20.762,0,0,0,0,0,0,19.2279,0,0,26.9931,0,0,38.4559,19.2279,464.4288,249.9633,368.6588,299.5122,19.2279,0,0,0,0,0,0,0,0,0
2018,"7","com_lan",0,0,12.278,0,0,0,0,0,0,0,0,0,192.9045,257.2059,0,192.9045,257.2059,514.4119,321.5074,257.2059,0,0,0,0,0,0,0,0,0,0,0
2019,"7","com_lan",0,0,18.868,0,0,0,0,0,0,0,0,32.6301,65.2602,97.8903,173.0814,228.4107,917.8989,1404.513,797.3094,323.4636,0,0,0,0,0,0,0,0,0,0,0
2020,"7","com_lan",0,0,20.212,0,0,0,0,0,0,0,0,0,0,0,150.4749,216.6884,959.7678,1632.1743,1162.2068,400.4795,85.8986,57.2657,28.6329,0,0,0,0,0,0,0,0
2021,"7","com_lan",0,0,12.692,0,0,0,0,0,0,0,66.5546,0,0,0,133.1093,199.6639,332.7732,465.8825,532.4371,332.7732,133.1093,66.5546,0,0,0,0,0,0,0,0,0
2022,"7","com_lan",0,0,23.798,0,0,0,0,0,0,0,14.4562,14.4562,14.4562,57.8247,144.5618,115.6494,216.8427,231.2989,86.7371,86.7371,28.9124,14.4562,0,0,0,0,0,0,0,0,0
2023,"7","com_lan",0,0,10.208,0,0,0,0,0,0,0,5.2405,5.2405,0,10.481,10.481,5.2405,255.8138,10.481,10.481,10.481,0,0,0,0,0,0,0,0,0,0,0
