year,month,fleet,sex,partition,Nsamp,U-10,U-12,U-14,U-16,U-18,U-20,U-22,U-24,U-26,U-28,U-30,U-32,U-34,U-36,U-38,U-40,U-42,U-44,U-46,U-48,U-50
2017,7,ccfrp,0,0,28,0,0,0,0,0,0,0,2,2,2,2,3,0,5,5,4,7,4,1,1,0
2018,7,ccfrp,0,0,53,0,0,3,2,1,0,0,2,1,4,2,5,4,0,12,15,9,11,2,1,0
2019,7,ccfrp,0,0,30,0,0,0,0,0,0,0,0,0,1,1,3,4,0,7,12,4,4,2,1,0
2020,7,ccfrp,0,0,33,0,0,0,1,1,0,4,3,1,0,0,3,4,2,3,6,9,2,2,0,0
2021,7,ccfrp,0,0,34,0,0,1,1,2,1,4,5,1,2,5,2,5,1,3,6,7,3,2,0,0
2022,7,ccfrp,0,0,50,0,0,0,0,0,1,5,10,9,3,5,2,2,4,6,7,14,5,2,0,0
2023,7,ccfrp,0,0,56,0,0,1,2,2,4,4,23,20,7,4,4,8,4,4,6,6,2,1,0,0
2024,7,ccfrp,0,0,39,0,0,0,0,0,0,1,2,6,11,4,5,4,2,3,6,7,4,0,0,0
