"year","month","fleet","sex","partition","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50"
2015,7,"rov",0,0,89,0,0.0021,0.0084,0.0084,0.0211,0.0148,0.0295,0.0338,0.0042,0.0295,0.0443,0.0591,0.0717,0.1772,0.173,0.0992,0.0865,0.0802,0.0359,0.0084,0.0127
2020,7,"rov",0,0,193,0.0095,0.0133,0.0275,0.0398,0.037,0.0446,0.0266,0.0266,0.0237,0.0655,0.0977,0.148,0.1091,0.1214,0.0863,0.0617,0.0266,0.0199,0.0114,0.0038,0
