"year","month","fleet","sex","partition","Nsamp","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50"
1959,7,"rec",0,0,45,7,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,8,9,7,10,2,1
1960,7,"rec",0,0,45,11,0,0,0,0,0,0,1,0,1,4,1,2,5,5,6,5,7,5,1,2,0
1980,7,"rec",0,0,11,10,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,1,2,1,1,0
1981,7,"rec",0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
1982,7,"rec",0,0,8,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,2,0,0
1983,7,"rec",0,0,61,32,0,0,0,0,1,0,0,1,1,0,1,2,2,4,2,6,11,3,11,5,11
1984,7,"rec",0,0,28,21,0,0,0,0,0,0,2,1,4,1,3,2,2,0,3,2,3,1,1,0,3
1985,7,"rec",0,0,36,31,0,0,0,0,0,0,2,0,4,2,2,1,3,5,4,5,2,1,1,0,4
1986,7,"rec",0,0,44,34,0,0,0,0,0,0,0,2,1,2,8,6,5,4,5,2,2,2,2,3,0
1987,7,"rec",0,0,12,9,0,0,0,0,0,0,0,2,1,1,1,0,0,3,2,0,0,1,1,0,0
1988,7,"rec",0,0,94,25,0,0,0,0,0,2,6,7,12,14,18,10,9,2,6,4,3,0,1,0,0
1989,7,"rec",0,0,156,72,0,0,0,0,0,0,1,7,15,22,33,15,13,20,13,8,6,1,2,0,0
1990,7,"rec",0,0,37,12,0,0,0,0,0,0,1,5,6,8,5,5,2,2,2,0,1,0,0,0,0
1991,7,"rec",0,0,6,5,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0
1992,7,"rec",0,0,72,27,0,0,0,0,0,0,1,0,7,9,13,13,8,11,5,2,1,0,2,0,0
1993,7,"rec",0,0,229,120,0,0,0,0,0,0,0,3,6,5,23,32,41,32,21,20,24,10,5,2,5
1994,7,"rec",0,0,175,77,0,0,0,0,0,0,2,2,11,8,19,26,30,24,16,15,7,4,7,3,1
