year,month,fleet,sex,partition,Nsamp,U-10,U-12,U-14,U-16,U-18,U-20,U-22,U-24,U-26,U-28,U-30,U-32,U-34,U-36,U-38,U-40,U-42,U-44,U-46,U-48,U-50
2017,7,4,0,0,27.8,0,0,0,0,0,0,0,0.0374,0.0918,0.1259,0.2041,0.102,0.1293,0.0986,0.051,0.0544,0.0612,0.0238,0.017,0.0034,0
2018,7,4,0,0,44.6,0,0,0.0144,0.0048,0.0096,0,0.0024,0.0144,0.0409,0.0889,0.1875,0.1659,0.0962,0.0625,0.1058,0.0793,0.0721,0.0409,0.0048,0.0096,0
2019,7,4,0,0,16.8,0,0,0,0,0,0,0,0,0,0.0392,0.0392,0.0294,0.098,0,0.2157,0.3824,0.0686,0.0686,0.049,0.0098,0
2020,7,4,0,0,14.4,0,0,0,0.0112,0.0449,0,0.1461,0.0337,0.0449,0,0,0.0337,0.1124,0.0562,0.0674,0.2022,0.1685,0.0562,0.0225,0,0
2021,7,4,0,0,15.8,0,0,0.009,0.036,0.045,0.036,0.036,0.1261,0.009,0.045,0.0721,0.045,0.0721,0.009,0.0541,0.2162,0.0901,0.0541,0.045,0,0
2022,7,4,0,0,22.8,0,0,0,0,0,0.026,0.0714,0.1623,0.0779,0.0584,0.0714,0.0325,0.0325,0.0909,0.0779,0.0649,0.1688,0.0519,0.013,0,0
2023,7,4,0,0,24.6,0,0,0.0222,0.0278,0.0111,0.0389,0.0222,0.1667,0.1667,0.05,0.05,0.0389,0.1111,0.0389,0.0722,0.05,0.0833,0.0278,0.0222,0,0
2024,7,4,0,0,50.4,0,0.0041,0,0,0.0041,0.0091,0.0233,0.0406,0.0892,0.1836,0.2221,0.1856,0.1146,0.0659,0.0233,0.0071,0.0203,0.0071,0,0,0
