"year","month","fleet","sex","partition","input_n","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66"
1987,"7","com_lan",0,0,1.138,0,0,0,0,0,0,0,0,0,0,0,46.6214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"7","com_lan",0,0,28.804,0,0,0,0,0,0,0,984.0845,1970.8198,602.654,3557.5584,3454.6388,7313.5241,3361.8018,2781.9639,3060.4748,788.3279,0,394.164,0,0,0,0,0,0,0,0,0
1992,"7","com_lan",0,0,67.88,0,0,0,0,10.7512,57.698,52.5613,16.1268,460.2857,284.2958,325.8015,856.5404,442.1315,336.5228,187.7212,148.5387,327.8217,21.4159,0,0,0,0,0,0,0,0,0,0
1993,"7","com_lan",0,0,27.386,0,0,0,0,0,0,0,125.3843,52.6685,272.2503,498.3612,555.5441,480.5035,125.3843,125.3843,125.3843,0,154.3726,0,0,0,0,0,0,0,0,0,0
1994,"7","com_lan",0,0,60.606,0,0,0,75.6566,216.2355,680.4395,573.2392,390.0459,1688.7751,1109.6032,1912.1192,1947.0338,2258.7379,1658.8903,527.1943,439.4328,163.4654,76.2495,0,0,0,0,0,0,0,0,0,0
1995,"7","com_lan",0,0,34.388,0,0,0,0,0,85.8056,85.8056,14.2637,240.2055,241.1994,127.017,59.4382,604.1717,98.8967,445.474,147.5551,134.5371,28.4051,8.4349,0,0,0,0,0,0,0,0,0
1996,"7","com_lan",0,0,40.216,0,0,0,0,394.164,788.3279,584.5127,903.4486,864.9611,931.3122,638.6633,620.9466,857.355,537.3277,307.8641,83.0644,0,0,0,0,0,0,0,0,0,0,0,0
1997,"7","com_lan",0,0,41.7,0,0,0,0,0,667.6422,1137.9972,1136.83,747.8438,1157.4813,1953.1497,237.9776,2879.5559,721.1465,78.1025,570.5103,373.9329,349.5626,12.1852,0,0,0,0,0,0,0,0,0
1998,"7","com_lan",0,0,5.208,0,0,0,0,0,0,0,0,0,0,0,0,73.4578,153.8023,241.0335,0,80.3445,0,0,0,0,0,0,0,0,0,0,0
1999,"7","com_lan",0,0,130.04,0,0,0,0,0,0,84.1767,47.0491,78.4256,157.2998,243.4259,154.2345,331.8011,216.8223,149.6976,71.9449,22.4287,21.4686,0,0,0,0,0,0,0,0,0,0
