"year","month","fleet","sex","partition","input_n","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50","u52","u54","u56","u58","u60","u62","u64","u66"
2000,"7","com_lan",0,0,17.658,0,0,0,0,0,0,33.7005,0,472.7985,101.1015,134.802,33.7005,146.0355,146.0355,137.6104,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"7","com_lan",0,0,77.436,0,0,0,0,0,0,0,2,257.3221,278.599,405.2601,928.0851,320.1527,484.5647,404.2601,143.1351,106.3842,21.2768,0,0,21.2768,0,0,0,0,0,0,0
2002,"7","com_lan",0,0,8.346,0,0,0,0,0,0,0,0,73.4578,73.4578,220.3735,220.3735,467.6218,73.4578,195.8875,73.4578,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","com_lan",0,0,5.932,0,0,0,0,0,0,0,0,0,0,0,0,484.4687,414.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"7","com_lan",0,0,4.208,0,0,0,0,0,0,0,0,0,0,0,45.6307,91.2614,394.164,45.6307,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","com_lan",0,0,5.622,0,0,0,0,0,0,0,0,0,0,73.4578,220.3735,146.9157,146.9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","com_lan",0,0,39.044,0,0,0,0,0,32.3797,0,0,88.2505,32.3797,455.0658,405.1836,655.058,659.262,208.8807,120.6302,0,0,0,0,0,0,0,0,0,0,0,0
2008,"7","com_lan",0,0,31.904,0,0,0,0,0,0,0,0,0,41.1102,82.2204,328.8818,755.4972,493.3226,399.2087,254.418,89.9771,0,0,0,0,0,0,0,0,0,0,0
2009,"7","com_lan",0,0,15.382,0,0,0,0,0,0,0,0,0,0,0,0,38.8838,77.7676,213.8609,38.8838,38.8838,0,0,0,0,0,0,0,0,0,0,0
2010,"7","com_lan",0,0,8.208,0,0,0,0,0,0,0,0,0,37.2538,0,0,0,37.2538,74.5076,37.2538,74.5076,0,0,0,0,0,0,0,0,0,0,0
2011,"7","com_lan",0,0,5.966,0,0,0,0,0,0,0,0,0,0,0,0,0,146.9157,73.4578,73.4578,73.4578,0,0,0,0,0,0,0,0,0,0,0
2012,"7","com_lan",0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.3841,63.2768,63.2768,0,0,0,0,0,0,0,0,0,0,0
2013,"7","com_lan",0,0,6.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2911,78.8734,26.2911,26.2911,0,0,0,0,26.2911,0,0,0,0,0
2014,"7","com_lan",0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,49.0354,49.0354,0,0,49.0354,49.0354,0,0,0,0,0,0,0,0,0,0
2015,"7","com_lan",0,0,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,30.232,30.232,60.4639,0,120.9278,30.232,30.232,0,0,0,0,0,0,0,0
2016,"7","com_lan",0,0,12.208,0,0,0,0,0,0,0,0,0,0,0,0,0,60.2183,20.7649,134.972,41.5298,83.0597,0,0,0,0,0,0,0,0,0,0
2017,"7","com_lan",0,0,20.762,0,0,0,0,0,0,0,0,0,0,0,0,19.049,19.049,53.1174,171.441,205.5095,224.5585,19.049,0,0,0,0,0,0,0,0,0
2018,"7","com_lan",0,0,12.278,0,0,0,0,0,0,0,0,0,63.4882,63.4882,0,63.4882,63.4882,317.4411,126.9764,253.9529,0,0,0,0,0,0,0,0,0,0,0
2019,"7","com_lan",0,0,18.868,0,0,0,0,0,0,0,0,0,32.4654,32.4654,107.2769,97.3962,419.227,815.8693,396.6423,182.0885,0,0,0,0,0,0,0,0,0,0,0
2020,"7","com_lan",0,0,20.212,0,0,0,0,0,0,0,0,0,0,0,67.5163,67.5163,160.8073,683.9944,743.316,219.3898,57.1759,57.1759,28.588,0,0,0,0,0,0,0,0
2021,"7","com_lan",0,0,12.692,0,0,0,0,0,0,0,73.4578,0,0,0,146.9157,73.4578,146.9157,293.8313,367.2892,146.9157,73.4578,0,0,0,0,0,0,0,0,0,0
2022,"7","com_lan",0,0,23.798,0,0,0,0,0,0,0,0,14.0032,0,28.0064,70.016,70.016,112.0255,154.0351,56.0128,56.0128,28.0064,14.0032,0,0,0,0,0,0,0,0,0
2023,"7","com_lan",0,0,10.208,0,0,0,0,0,0,0,0,0,0,4.9667,4.9667,0,236.5222,9.9335,0,4.9667,0,0,0,0,0,0,0,0,0,0,0
