year,month,fleet,obs,logse
2004,7,NA,0.653894263,0.122700007
2005,7,NA,0.871489437,0.07516296
2006,7,NA,0.881002227,0.066079374
2007,7,NA,0.876425153,0.068056331
2008,7,NA,0.596534091,0.098465492
2009,7,NA,0.562711059,0.104196894
2010,7,NA,0.608101307,0.12822501
2011,7,NA,0.738771156,0.099355291
2012,7,NA,0.890226666,0.087557202
2013,7,NA,0.735055121,0.091920716
2014,7,NA,0.671423118,0.09943182
2015,7,NA,0.651085078,0.083133594
2016,7,NA,0.758187022,0.085298613
2017,7,NA,0.683133604,0.072547256
2018,7,NA,0.615080806,0.076439693
2019,7,NA,0.787576741,0.065170218
2021,7,NA,0.76999625,0.085542812
2022,7,NA,0.5869004,0.080171529
