"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Model 321",134,751.08,-25.92,171.44,583.5
"325: Rec asymptotic",130,751.35,-25.83,171.72,583.47
"3210: Domed",136,749.18,-25.88,169.67,583.02
"3212: Domed but rec asymptotic for first block",135,749.2,-25.84,169.73,582.82
"3214: ROV and Rec can be domed",135,750.87,-25.88,171.16,583.43
"3215: CCFRP and Rec can be domed",135,749.9,-26,170.62,583.08
"3217: Simplify rec blocks",130,751.08,-25.84,171.49,583.27
"3218: Simplify comm blocks",130,754.34,-25.8,174.85,583.06
"3219: Simplify all blocks",127,754.38,-25.75,174.9,582.94
