Value,2015 Index,2015 log SE ,2020 Index,2020 log SE,Percent Change
Estimate,9.54,0.2317,14.62,0.2405,53.34%
Lower 95% CL,5.11,-,7.67,-,50.21%
Upper 95% CL,17.81,-,27.88,-,56.51%
