"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Base",121,668.24,-26.35,174.18,500.12
"Alt com blocks",122,671.69,-26.32,177.43,500.07
"No blocks",114,696.89,-20.14,195.22,498.91
"ROV and CCFRP Domed",123,667.58,-26.38,173.89,499.77
"Rec Domed",123,668.17,-26.38,174.12,500.09
"ROV and CCFRP and Rec Domed",125,667.22,-26.44,173.63,499.61
"Com Domed",123,667.62,-26.35,173.28,500.4
"All Domed",127,665.92,-26.59,171.78,500.44
"Alt rec blocks domed",128,667.89,-26.44,173.92,500.19
"Alt rec blocks, ROV and CCFRP domed",130,666.87,-26.45,173.28,499.62
"All com block asymptotic",120,670.73,-26.11,176.4,499.29
