"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Model 321",134,751.08,-25.92,171.44,583.5
"3222: Simplify rec blocks and all rec asymp",128,751.37,-25.81,171.74,583.39
"331: Simplify rec and com blocks",123,751.69,-25.75,172.08,583.37
"332: Same as 331 but mirror ccfrp",121,767.04,-23.17,184.53,583.68
