"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Model 321",0,0,0,0,0
"3222: Simplify rec blocks and all rec asymp",-6,0.289999999999964,0.110000000000003,0.300000000000011,-0.110000000000014
"331: Simplify rec and com blocks",-11,0.610000000000014,0.170000000000002,0.640000000000015,-0.129999999999995
"332: Same as 331 but mirror ccfrp",-13,15.9599999999999,2.75,13.09,0.17999999999995
