"sex","median_intercept","SD","A","B"
"female",5.63467313006293e-05,0.120126473710676,5.67547535902892e-05,2.70487224435575
"male",6.48727150237373e-06,0.1080585170791,6.52525705747468e-06,3.31411878285084
"all",1.55894413533593e-05,0.154621281017598,1.57769137911057e-05,3.08018387936904
