"Year","length_cm","weight_kg","sex","area","mode","disp","source","tripID"
1960,37.3845,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,38.3495,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,38.3495,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,38.832,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,41.2445,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,41.727,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,42.692,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,43.1745,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,43.657,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,43.657,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,45.1045,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,45.587,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,46.0695,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,48.9645,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,23.1025,NA,"U","Central","PC","RETAINED","MilGei","1960SantaCruz_MontereyPC"
