"Year","length_cm","weight_kg","sex","area","mode","disp","source","tripID"
1960,36.6125,NA,"U","Bay","PC","RETAINED","MilGot","1960AprilBodega BayPC"
1960,43.3675,NA,"U","Bay","PC","RETAINED","MilGot","1960AprilBodega BayPC"
1960,38.5425,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustBodega BayPC"
1960,42.4025,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustBodega BayPC"
1960,43.3675,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustBodega BayPC"
1960,44.3325,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustBodega BayPC"
1960,48.1925,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustBodega BayPC"
1960,28.8925,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,29.8575,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,35.6475,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,37.5775,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,37.5775,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,41.4375,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,45.2975,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,45.2975,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberBodega BayPC"
1960,34.6825,NA,"U","Bay","PC","RETAINED","MilGot","1960JulyPrincetonPC"
1960,33.7175,NA,"U","Bay","PC","RETAINED","MilGot","1960AugustPrincetonPC"
1960,38.5425,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberPrincetonPC"
1960,40.4725,NA,"U","Bay","PC","RETAINED","MilGot","1960SeptemberPrincetonPC"
1960,33.7175,NA,"U","Bay","PC","RETAINED","MilGot","1960OctoberPrincetonPC"
1960,27.9275,NA,"U","Bay","PR","RETAINED","MilGot","1960SeptemberBodega BayPR"
1960,29.8575,NA,"U","Bay","PR","RETAINED","MilGot","1960SeptemberBodega BayPR"
1959,51.0875,NA,"U","Wine","PR","RETAINED","MilGot","1959JuneFt. BraggPR"
1959,45.2975,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberFt. BraggPR"
1959,47.2275,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberFt. BraggPR"
1959,40.4725,NA,"U","Wine","PR","RETAINED","MilGot","1959JulyShelter CovePR"
1959,41.4375,NA,"U","Wine","PR","RETAINED","MilGot","1959AugustShelter CovePR"
1959,39.5075,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,40.4725,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,42.4025,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,44.3325,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,46.2625,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,47.2275,NA,"U","Wine","PR","RETAINED","MilGot","1959SeptemberShelter CovePR"
1959,41.727,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,43.1745,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,43.657,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,44.622,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,44.622,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,44.622,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,46.0695,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,47.0345,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,47.517,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,47.9995,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,48.482,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,48.9645,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,39.797,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,40.762,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,41.2445,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,41.2445,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,42.2095,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,42.692,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,44.622,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,46.552,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,47.9995,NA,"U","Redwood","PR","RETAINED","MilGei","1959DelNorte_HumboldtPR"
1959,27.7345,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,34.007,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,34.4895,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,35.937,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,36.902,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,38.832,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,41.2445,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,42.2095,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,42.692,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,42.692,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,43.1745,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,45.1045,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1959,47.0345,NA,"U","Wine","PR","RETAINED","MilGei","1959Mendocino_SonomaPR"
1960,34.007,NA,"U","Bay","PC","RETAINED","MilGei","1960SanFranciscoBayPC"
1960,34.4895,NA,"U","Bay","PC","RETAINED","MilGei","1960SanFranciscoBayPC"
1960,35.4545,NA,"U","Bay","PC","RETAINED","MilGei","1960SanFranciscoBayPC"
1960,38.832,NA,"U","Bay","PC","RETAINED","MilGei","1960SanFranciscoBayPC"
1960,40.2795,NA,"U","Bay","PC","RETAINED","MilGei","1960SanFranciscoBayPC"
1960,29.182,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,30.6295,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
1960,36.4195,NA,"U","Wine","PC","RETAINED","MilGei","1960Mendocino_SonomaPC"
