"Year","length_cm","weight_kg","sex","age","depth_m","lat","lon","source","tripID"
2014,14,0.04,"M",2,87.1,37.82361111,-123.0825,"trawl",107
2017,42,1.66,"M",33,80.1,40.34277778,-124.42888889,"trawl",97
2014,40,1.38,"M",15,84.6,40.34416667,-124.43944444,"trawl",94
2014,38,1.2,"M",22,84.6,40.34416667,-124.43944444,"trawl",94
2014,40,1.36,"M",20,84.6,40.34416667,-124.43944444,"trawl",94
2017,11.5,0.04,"U",1,139.2,38.24472222,-123.33972222,"trawl",127
2007,38,1,"F",13,88.2,40.46722222,-124.55888889,"trawl",115
2007,44,1.36,"F",15,88.2,40.46722222,-124.55888889,"trawl",115
2007,40,1.18,"F",13,88.2,40.46722222,-124.55888889,"trawl",115
2007,42,1.16,"F",8,88.2,40.46722222,-124.55888889,"trawl",115
2007,38,1,"F",12,88.2,40.46722222,-124.55888889,"trawl",115
2007,38,1.18,"M",16,88.2,40.46722222,-124.55888889,"trawl",115
2007,40,1.12,"M",12,88.2,40.46722222,-124.55888889,"trawl",115
2007,35,0.7,"M",8,88.2,40.46722222,-124.55888889,"trawl",115
2007,41,1.32,"M",26,88.2,40.46722222,-124.55888889,"trawl",115
2007,37,0.98,"M",12,88.2,40.46722222,-124.55888889,"trawl",115
2007,34,0.62,"M",6,88.2,40.46722222,-124.55888889,"trawl",115
2007,38,0.96,"F",14,88.2,40.46722222,-124.55888889,"trawl",115
2007,37,0.96,"F",15,88.2,40.46722222,-124.55888889,"trawl",115
2007,37,0.86,"F",11,88.2,40.46722222,-124.55888889,"trawl",115
2007,42,1.36,"F",23,88.2,40.46722222,-124.55888889,"trawl",115
2013,17,NA,"U",NA,76.8,37.8225,-122.985,"trawl",129
2007,34,NA,"F",NA,88.2,40.46722222,-124.55888889,"trawl",115
2007,40,NA,"F",NA,88.2,40.46722222,-124.55888889,"trawl",115
2007,38,NA,"M",NA,88.2,40.46722222,-124.55888889,"trawl",115
2007,39,NA,"M",NA,88.2,40.46722222,-124.55888889,"trawl",115
2001,26,NA,"F",NA,94,41.40083333,-124.345,"triennial",149
