"Year","length_cm","weight_kg","sex","area","disp","source"
1978,307,NA,"M","BGA","dead","pacfin"
1978,335,NA,"M","BGA","dead","pacfin"
1984,458,NA,"M","ERA","dead","pacfin"
1987,345,NA,"M","ERA","dead","pacfin"
1991,424,NA,"U","BGA","dead","pacfin"
1991,404,NA,"U","BGA","dead","pacfin"
1991,295,NA,"U","BGA","dead","pacfin"
1991,315,NA,"U","BGA","dead","pacfin"
1991,257,NA,"U","BGA","dead","pacfin"
1991,329,NA,"U","BGA","dead","pacfin"
1991,366,NA,"U","SFA","dead","pacfin"
1991,289,NA,"U","BGA","dead","pacfin"
1991,399,NA,"U","BGA","dead","pacfin"
1991,407,NA,"U","BGA","dead","pacfin"
1991,393,NA,"U","BGA","dead","pacfin"
1991,361,NA,"U","BGA","dead","pacfin"
1991,349,NA,"U","BGA","dead","pacfin"
1991,390,NA,"U","BGA","dead","pacfin"
1991,278,NA,"U","BGA","dead","pacfin"
1991,317,NA,"U","BGA","dead","pacfin"
1991,379,NA,"U","BGA","dead","pacfin"
1991,423,NA,"U","BGA","dead","pacfin"
1991,416,NA,"U","BGA","dead","pacfin"
1991,437,NA,"U","BGA","dead","pacfin"
1991,421,NA,"M","BGA","dead","pacfin"
1991,404,NA,"M","BGA","dead","pacfin"
1991,380,NA,"U","BGA","dead","pacfin"
1991,364,NA,"U","BGA","dead","pacfin"
1991,283,NA,"U","BGA","dead","pacfin"
1991,259,NA,"U","BGA","dead","pacfin"
1991,314,NA,"U","BGA","dead","pacfin"
1991,322,NA,"U","BGA","dead","pacfin"
1991,386,NA,"U","BGA","dead","pacfin"
1991,375,NA,"U","BGA","dead","pacfin"
1991,398,NA,"U","BGA","dead","pacfin"
1991,298,NA,"U","BGA","dead","pacfin"
1991,424,NA,"U","BGA","dead","pacfin"
1991,360,NA,"U","BGA","dead","pacfin"
1991,359,NA,"U","BGA","dead","pacfin"
1991,333,NA,"U","BGA","dead","pacfin"
1991,358,NA,"U","BGA","dead","pacfin"
1991,322,NA,"U","BGA","dead","pacfin"
1991,278,NA,"U","BGA","dead","pacfin"
1991,351,NA,"U","BGA","dead","pacfin"
1991,351,NA,"U","BGA","dead","pacfin"
1991,354,NA,"U","BGA","dead","pacfin"
1991,340,NA,"U","BGA","dead","pacfin"
1991,378,NA,"U","BGA","dead","pacfin"
1991,415,NA,"U","BGA","dead","pacfin"
1991,395,NA,"U","BGA","dead","pacfin"
1991,329,NA,"U","BGA","dead","pacfin"
1991,339,NA,"U","BGA","dead","pacfin"
1991,349,NA,"U","BGA","dead","pacfin"
1991,369,NA,"U","BGA","dead","pacfin"
1991,370,NA,"U","BGA","dead","pacfin"
1991,369,NA,"U","BGA","dead","pacfin"
1991,335,NA,"U","BGA","dead","pacfin"
1991,452,NA,"U","BGA","dead","pacfin"
1991,375,NA,"U","BGA","dead","pacfin"
1991,443,NA,"M","BGA","dead","pacfin"
1991,316,NA,"U","BGA","dead","pacfin"
1991,386,NA,"U","BGA","dead","pacfin"
1991,349,NA,"U","BGA","dead","pacfin"
1991,413,NA,"U","BGA","dead","pacfin"
1991,439,NA,"U","BGA","dead","pacfin"
1991,362,NA,"U","BGA","dead","pacfin"
1991,351,NA,"U","BGA","dead","pacfin"
1991,405,NA,"U","BGA","dead","pacfin"
1991,342,NA,"U","BGA","dead","pacfin"
1991,334,NA,"U","BGA","dead","pacfin"
1991,364,NA,"U","BGA","dead","pacfin"
1991,355,NA,"U","BGA","dead","pacfin"
1991,350,NA,"U","BGA","dead","pacfin"
1991,376,NA,"U","BGA","dead","pacfin"
1991,429,NA,"U","BGA","dead","pacfin"
1991,398,NA,"U","BGA","dead","pacfin"
1991,342,NA,"U","BGA","dead","pacfin"
1991,354,NA,"U","BGA","dead","pacfin"
1991,393,NA,"U","BGA","dead","pacfin"
1991,257,NA,"U","BGA","dead","pacfin"
1991,318,NA,"U","BGA","dead","pacfin"
1991,380,NA,"U","BGA","dead","pacfin"
1991,333,NA,"U","BGA","dead","pacfin"
1991,483,NA,"U","BGA","dead","pacfin"
1991,409,NA,"U","BGA","dead","pacfin"
1991,366,NA,"U","BGA","dead","pacfin"
1991,337,NA,"U","BGA","dead","pacfin"
1991,365,NA,"U","BGA","dead","pacfin"
1991,327,NA,"U","BGA","dead","pacfin"
1991,262,NA,"U","BGA","dead","pacfin"
1991,364,NA,"U","BGA","dead","pacfin"
1991,323,NA,"U","BGA","dead","pacfin"
1991,281,NA,"U","BGA","dead","pacfin"
1991,351,NA,"U","BGA","dead","pacfin"
1991,383,NA,"U","BGA","dead","pacfin"
1991,397,NA,"U","BGA","dead","pacfin"
1991,346,NA,"U","BGA","dead","pacfin"
1991,368,NA,"U","BGA","dead","pacfin"
1991,413,NA,"U","BGA","dead","pacfin"
1991,323,NA,"U","SFA","dead","pacfin"
1991,351,NA,"U","BGA","dead","pacfin"
1991,304,NA,"U","BGA","dead","pacfin"
1991,366,NA,"U","BGA","dead","pacfin"
1991,368,NA,"U","BGA","dead","pacfin"
1991,315,NA,"U","SFA","dead","pacfin"
1991,363,NA,"U","BGA","dead","pacfin"
1991,406,NA,"U","BGA","dead","pacfin"
1991,382,NA,"U","BGA","dead","pacfin"
1991,422,NA,"U","BGA","dead","pacfin"
1991,395,NA,"U","BGA","dead","pacfin"
1991,365,NA,"U","BGA","dead","pacfin"
1991,359,NA,"U","BGA","dead","pacfin"
1991,413,NA,"U","BGA","dead","pacfin"
1991,389,NA,"U","BGA","dead","pacfin"
1991,275,NA,"U","BGA","dead","pacfin"
1991,338,NA,"U","BGA","dead","pacfin"
1991,310,NA,"U","BGA","dead","pacfin"
1991,310,NA,"U","BGA","dead","pacfin"
1991,389,NA,"U","BGA","dead","pacfin"
1991,413,NA,"U","BGA","dead","pacfin"
1991,417,NA,"U","BGA","dead","pacfin"
1991,308,NA,"U","BGA","dead","pacfin"
1991,327,NA,"U","BGA","dead","pacfin"
1991,313,NA,"U","BGA","dead","pacfin"
1991,431,NA,"U","BGA","dead","pacfin"
1991,298,NA,"U","BGA","dead","pacfin"
1991,354,NA,"U","BGA","dead","pacfin"
1991,356,NA,"U","BGA","dead","pacfin"
1991,282,NA,"U","BGA","dead","pacfin"
1991,258,NA,"U","BGA","dead","pacfin"
1991,365,NA,"U","BGA","dead","pacfin"
1991,337,NA,"U","BGA","dead","pacfin"
1991,450,NA,"U","BGA","dead","pacfin"
1991,409,NA,"U","BGA","dead","pacfin"
1991,353,NA,"U","SFA","dead","pacfin"
1991,277,NA,"U","BGA","dead","pacfin"
1991,284,NA,"U","BGA","dead","pacfin"
