"","year","length_cm","age","sex","source","faa_area","fleet","project","InModel"
"365",2010,35.1,11,"M","Abrams","north","Growth","Abrams","Included in base model"
"366",2010,32.4,10,"M","Abrams","north","Growth","Abrams","Included in base model"
"367",2010,42.9,45,"F","Abrams","north","Growth","Abrams","Included in base model"
"368",2010,37.1,19,"M","Abrams","north","Growth","Abrams","Included in base model"
"369",2010,35.9,17,"M","Abrams","north","Growth","Abrams","Included in base model"
"370",2010,33.6,16,"F","Abrams","north","Growth","Abrams","Included in base model"
"371",2010,33.9,18,"M","Abrams","north","Growth","Abrams","Included in base model"
"372",2010,32.7,9,"F","Abrams","north","Growth","Abrams","Included in base model"
"373",2010,34,15,"F","Abrams","north","Growth","Abrams","Included in base model"
"374",2011,39,17,"M","Abrams","north","Growth","Abrams","Included in base model"
