"","year","length_cm","age","sex","source","faa_area","fleet","project","InModel"
"81",2019,41.2,20,"M","pacfin","north","Commercial","pacfin","Included in base model"
"82",2019,43.4,31,"F","pacfin","north","Commercial","pacfin","Included in base model"
"83",2019,41,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"84",2019,39.2,25,"F","pacfin","north","Commercial","pacfin","Included in base model"
"85",2019,42.2,39,"M","pacfin","north","Commercial","pacfin","Included in base model"
"86",2019,40.5,23,"F","pacfin","north","Commercial","pacfin","Included in base model"
"87",2019,42,25,"F","pacfin","north","Commercial","pacfin","Included in base model"
"88",2019,43.9,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"89",2019,40.2,18,"F","pacfin","north","Commercial","pacfin","Included in base model"
"90",2019,41,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"91",2019,42.6,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"92",2019,40.8,20,"F","pacfin","north","Commercial","pacfin","Included in base model"
"93",2019,41,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"94",2019,39.7,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"95",2019,38.2,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"96",2019,38.2,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"97",2019,40,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"98",2019,36.1,11,"M","pacfin","north","Commercial","pacfin","Included in base model"
"99",2019,37.8,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"100",2019,34.5,13,"M","pacfin","north","Commercial","pacfin","Included in base model"
"101",2019,38,25,"M","pacfin","north","Commercial","pacfin","Included in base model"
"102",2019,36.6,15,"M","pacfin","north","Commercial","pacfin","Included in base model"
"103",2019,41.5,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"104",2019,35.8,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"105",2019,39.3,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"106",2019,38.5,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"107",2019,41.4,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"108",2020,42.1,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"109",2020,42.5,26,"F","pacfin","north","Commercial","pacfin","Included in base model"
"110",2020,42.8,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"111",2020,36.1,25,"M","pacfin","north","Commercial","pacfin","Included in base model"
"112",2020,43.2,26,"F","pacfin","north","Commercial","pacfin","Included in base model"
"113",2020,40.3,22,"F","pacfin","north","Commercial","pacfin","Included in base model"
"114",2020,42.6,36,"M","pacfin","north","Commercial","pacfin","Included in base model"
"115",2020,34.7,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"116",2020,47.7,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"117",2020,45,23,"F","pacfin","north","Commercial","pacfin","Included in base model"
"118",2020,44.8,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"119",2020,45.5,21,"F","pacfin","north","Commercial","pacfin","Included in base model"
"120",2020,38.2,21,"M","pacfin","north","Commercial","pacfin","Included in base model"
"121",2020,41.1,37,"F","pacfin","north","Commercial","pacfin","Included in base model"
"122",2020,45.1,40,"F","pacfin","north","Commercial","pacfin","Included in base model"
"123",2020,41.4,25,"M","pacfin","north","Commercial","pacfin","Included in base model"
"124",2020,37.7,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"125",2020,41.6,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"126",2020,41.5,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
