"Year","com_tot","com_lan","com_dis","rec_tot","rec_lan","rec_dis"
1916,0.015,0.015,0,NA,NA,NA
1917,0.031,0.031,0,NA,NA,NA
1918,0.072,0.072,0,NA,NA,NA
1919,0.016,0.016,0,NA,NA,NA
1920,0.022,0.022,0,NA,NA,NA
1921,0.034,0.034,0,NA,NA,NA
1922,0.025,0.025,0,NA,NA,NA
1923,0.008,0.008,0,NA,NA,NA
1924,0.022,0.022,0,NA,NA,NA
1925,0.073,0.073,0,NA,NA,NA
1926,0.072,0.072,0,NA,NA,NA
1927,0.136,0.136,0,NA,NA,NA
1928,0.118,0.117,0,0.061,0.06,0.001
1929,0.111,0.111,0,0.121,0.12,0.001
1930,0.177,0.176,0,0.139,0.138,0.002
1931,0.241,0.241,0.001,0.186,0.184,0.002
1932,0.179,0.178,0,0.232,0.23,0.003
1933,0.135,0.135,0,0.278,0.275,0.003
1934,0.122,0.122,0,0.325,0.321,0.004
1935,0.225,0.225,0.001,0.371,0.367,0.004
1936,0.216,0.215,0.001,0.418,0.413,0.005
1937,0.149,0.149,0,0.495,0.489,0.005
1938,0.204,0.203,0.001,0.487,0.481,0.005
1939,0.197,0.197,0,0.426,0.421,0.005
1940,0.077,0.077,0,0.613,0.606,0.007
1941,0.134,0.133,0,0.567,0.56,0.006
1942,0.131,0.13,0,0.301,0.298,0.003
1943,0.175,0.175,0,0.288,0.285,0.003
1944,0.893,0.891,0.002,0.236,0.234,0.003
1945,2.196,2.19,0.006,0.315,0.312,0.003
1946,2.299,2.293,0.006,0.542,0.536,0.006
1947,0.464,0.463,0.001,0.429,0.424,0.005
1948,0.968,0.965,0.002,0.856,0.847,0.009
1949,0.341,0.341,0.001,1.109,1.097,0.012
1950,0.175,0.175,0,1.352,1.337,0.015
1951,0.317,0.316,0.001,1.645,1.627,0.018
1952,0.266,0.266,0.001,1.432,1.416,0.016
1953,0.153,0.153,0,1.219,1.206,0.013
1954,0.384,0.383,0.001,1.516,1.499,0.017
1955,0.016,0.016,0,1.807,1.787,0.02
1956,0.035,0.035,0,2.017,1.995,0.022
1957,0.062,0.062,0,2.003,1.981,0.022
1958,0.096,0.096,0,3.487,3.449,0.038
1959,0.044,0.044,0,2.613,2.585,0.029
1960,0.019,0.019,0,2.179,2.155,0.024
1961,0.018,0.018,0,1.578,1.56,0.017
1962,0.018,0.018,0,1.787,1.767,0.02
1963,0.062,0.062,0,2.658,2.629,0.029
1964,0.032,0.032,0,2.182,2.158,0.024
1965,0.095,0.095,0,3.709,3.669,0.041
1966,0.037,0.037,0,4.222,4.176,0.046
1967,0.077,0.077,0,4.728,4.677,0.052
1968,0.068,0.068,0,4.844,4.791,0.053
1969,0,0,0,5.441,5.381,0.06
1970,0,0,0,7.401,7.32,0.081
1971,0,0,0,6.578,6.506,0.072
1972,0,0,0,9.412,9.309,0.103
1973,0,0,0,10.171,10.059,0.111
1974,0,0,0,11.242,11.119,0.123
1975,0,0,0,11.198,11.076,0.123
1976,0,0,0,12.753,12.613,0.14
1977,0,0,0,13.48,13.332,0.148
1978,0.114,0.113,0,12.995,12.853,0.142
1979,0.001,0.001,0,13.934,13.781,0.153
1980,0,0,0,15.037,14.873,0.165
1981,0,0,0,4.888,4.888,0
1982,0,0,0,5.042,5.042,0
1983,0,0,0,39.996,39.996,0
1984,3.064,3.056,0.008,10.396,10.396,0
1985,0,0,0,12.252,12.252,0
1986,0.077,0.077,0,13.176,12.867,0.309
1987,0.143,0.142,0,5.511,5.511,0
1988,0.28,0.28,0.001,1.84,1.84,0
1989,1.809,1.804,0.005,9.713,9.713,0
1990,1.282,1.279,0.003,5.688,NA,NA
1991,49.514,49.389,0.124,11.212,NA,NA
1992,5.947,5.932,0.015,16.736,NA,NA
1993,4.756,4.744,0.012,38.217,38.217,0
1994,19.218,19.17,0.048,6.498,6.498,0
1995,9.316,9.292,0.023,5.493,5.226,0.267
1996,11.614,11.585,0.029,3.556,3.268,0.289
1997,18.999,18.951,0.048,3.347,3.312,0.034
1998,11.899,11.869,0.03,2.679,2.679,0
1999,8.199,8.178,0.021,5.336,5.336,0
2000,6.299,6.283,0.016,6.799,6.799,0
2001,12.088,12.058,0.03,3.602,3.509,0.093
2002,4.748,4.74,0.008,1.174,1.174,0
2003,1.968,1.928,0.04,11.884,10.855,1.029
2004,1.9,1.893,0.007,3.181,3.1,0.081
2005,4.855,4.826,0.029,5.701,5.087,0.614
2006,4.172,4.162,0.01,10.162,9.663,0.499
2007,6.558,6.529,0.029,12.71,12.296,0.414
2008,6.266,6.266,0,4.738,4.656,0.082
2009,1.228,1.132,0.096,5.73,5.451,0.279
2010,0.872,0.871,0.001,2.686,2.686,0
2011,0.937,0.937,0,4.498,4.412,0.087
2012,1.605,1.6,0.005,6.304,6.262,0.042
2013,0.674,0.67,0.004,2.897,2.872,0.025
2014,0.448,0.448,0,2.55,2.526,0.024
2015,1.093,1.093,0,7.495,7.425,0.069
2016,1.014,0.964,0.05,8.595,8.481,0.114
2017,2.555,2.538,0.017,10.013,9.763,0.25
2018,2.63,2.625,0.005,10.336,10.112,0.224
2019,4.674,3.863,0.811,11.781,11.46,0.321
2020,4.215,4.208,0.007,10.938,10.868,0.07
2021,4.767,4.742,0.025,11.066,10.826,0.24
2022,8.727,1.318,7.409,10.424,9.23,1.194
2023,2.237,0.58,1.657,2.262,1.789,0.472
2024,1.657,0,1.657,1.102,0.351,0.751
