"Year","length_cm","weight_kg","sex","area","mode","disp","lngth_flag","wgt_flag","source"
1980,241.48549323,0.3,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1980,299.51257253,0.5,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1980,458.11992263,2,"U","Redwood","PR","RETAINED","computed","measured","mrfss"
1980,464.88974855,2.1,"U","Redwood","PR","RETAINED","computed","measured","mrfss"
1980,279.20309478,0.4,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1980,289.84139265,0.5,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1980,289.84139265,0.5,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1980,397.19148936,1.3,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1980,489.06769826,2.4,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1980,421.36943907,1.5,"U","Redwood","PR","RETAINED","computed","measured","mrfss"
1980,457.15280464,1.9,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1981,479.39651838,2.2,"U","Redwood","PR","RETAINED","computed","measured","mrfss"
1981,390.42166344,1.2,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1981,438.77756286,1.7,"U","Bay","PC","RETAINED","computed","measured","mrfss"
1981,376.88201161,1.1,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1981,327.5589942,0.7,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1981,612.85880077,4.7,"U","Redwood","PR","RETAINED","computed","measured","mrfss"
1982,299.51257253,0.5,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1981,447.48162476,1.8,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1982,426.20502901,1.6,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1982,472.62669246,2.2,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1982,432.00773694,1.6,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,304.34816248,0.6,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,414.59961315,1.5,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1982,458.11992263,2,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1982,375.91489362,1.1,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1982,294.67698259,0.5,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1982,478.42940039,2.2,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,355.60541586,0.9,"U","Central","PC","RETAINED","computed","measured","mrfss"
1983,526.78529981,3,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,513.24564797,2.8,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,434.90909091,1.7,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,436.84332689,1.7,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,495.83752418,2.5,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,461.0212766,2,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,432.97485493,1.7,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,406.86266925,1.4,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,447.48162476,1.8,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,382.68471954,1.1,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,464.88974855,2.1,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,428.13926499,1.6,"U","Bay","PR","RETAINED","computed","measured","mrfss"
1983,507.44294004,2.7,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1983,502.6073501,2.6,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1983,409.76402321,1.4,"U","Wine","PC","RETAINED","computed","measured","mrfss"
1983,460.05415861,2,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,352.7040619,0.9,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,409.76402321,1.4,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,495.83752418,2.5,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,337.23017408,0.8,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,375.91489362,1.1,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,434.90909091,1.7,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,508.41005803,2.7,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,591.58220503,4.2,"U","Wine","PR","RETAINED","computed","measured","mrfss"
1983,482.29787234,2.3,"U","Wine","PR","RETAINED","computed","measured","mrfss"
