"Year","length_cm","weight_kg","sex","area","mode","disp","source","SOURCE_CODE"
2005,389,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,385,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,390,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,443,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,420,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,453,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,415,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,399,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,406,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,307,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,390,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,368,0.9,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,380,0.9,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,444,1.6,"U","Redwood","PC","RETAINED","recfin","BIO"
2005,385,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,420,1.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,380,1.1,"U","Wine","PR","RETAINED","recfin","BIO"
2005,387,1.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,430,1.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,410,1.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,348,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,345,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,335,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,315,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,326,1.1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,466,2.2,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,398,1.25,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,460,2,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,325,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,408,1.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,381,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,370,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,309,0.6,"U","Bay","PR","RETAINED","recfin","BIO"
2005,346,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,378,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,380,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,335,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,381,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,374,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2005,321,0.52,"U","Wine","PR","RETAINED","recfin","BIO"
2005,399,1.3,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,371,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,418,1.5,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,365,1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,423,1.5,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,408,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,376,1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,454,1.8,"U","Redwood","PR","RETAINED","recfin","BIO"
