"YEAR","tot_mt","disEst_mt","landEst_mt"
1980,4.670208819,0,4.670208819
1981,4.8878490594,0,4.8878490594
1982,5.04196880056,0,5.04196880056
1983,39.9962710928,0,39.9962710928
1984,10.39596067845,0,10.39596067845
1985,12.25180139587,0,12.25180139587
1986,13.17599492325,0.309231014413304,12.8667639088367
1987,5.51075972833,0,5.51075972833
1988,1.8401217554,0,1.8401217554
1989,9.71303874698,0,9.71303874698
1993,35.756111503519,0,35.756111503519
1994,4.03658572899,0,4.03658572899
1995,3.0324534879,0.267353991958148,2.76509949594185
1996,3.55627461029,0.288558920993108,3.26771568929689
1997,3.34669986483,0.0343565444458938,3.31234332038411
1998,2.67890558156,0,2.67890558156
1999,5.33580037984,0,5.33580037984
2000,6.79869427431,0,6.79869427431
2001,3.60210831888,0.0930906571209745,3.50901766175903
2002,1.17429426926,0,1.17429426926
2003,11.88384999993,1.0287190415374,10.8551309583926
2004,3.18100287934,0.0813875423522244,3.09961533698778
