"sector","year","grouped_sector","Tot_Dead","Discard","Dead_Discard","Landings","dis_mort_prop"
"Directed P Halibut",2022,"ca_comm",0.034,0,0,0.034,0
"Incidental",2002,"ca_comm",0.008,0,0,0.008,0
"Incidental",2003,"ca_comm",0.001,0,0,0.001,0
"Incidental",2007,"ca_comm",0.009,0,0,0.009,0
"Incidental",2017,"ca_comm",0.032,0,0,0.032,0
"Incidental",2018,"ca_comm",0.002,0,0,0.002,0
"Incidental",2022,"ca_comm",0.002,0,0,0.002,0
"Incidental",2023,"ca_comm",0.002,0,0,0.002,0
"LE Fixed Gear DTL - Hook & Line",2016,"ca_comm",0.031,0.031,0.031,0,1
"LE Fixed Gear DTL - Hook & Line",2017,"ca_comm",0.164,0,0,0.164,0
"LE Fixed Gear DTL - Hook & Line",2018,"ca_comm",0.002,0,0,0.002,0
"LE Sablefish - Hook & Line",2017,"ca_comm",0.607,0,0,0.607,0
"Limited Entry Trawl",2002,"ca_comm",0.18,0.008,0.008,0.173,0.044
"Limited Entry Trawl",2003,"ca_comm",0.042,0.04,0.04,0.002,0.952
"Limited Entry Trawl",2004,"ca_comm",0.008,0,0,0.008,0
"Limited Entry Trawl",2006,"ca_comm",0.01,0.01,0.01,0,1
"Limited Entry Trawl",2010,"ca_comm",0.009,0,0,0.009,0
"Midwater Rockfish",2023,"ca_comm",0,0,0,0,NA
"Nearshore",2002,"ca_comm",4.56,0,0,4.56,0
"Nearshore",2003,"ca_comm",1.926,0,0,1.926,0
"Nearshore",2004,"ca_comm",1.892,0.012,0.007,1.884,0.004
"Nearshore",2005,"ca_comm",4.855,0.042,0.029,4.826,0.006
"Nearshore",2006,"ca_comm",4.121,0,0,4.121,0
"Nearshore",2007,"ca_comm",6.291,0.037,0.029,6.261,0.005
"Nearshore",2008,"ca_comm",6.223,0,0,6.223,0
"Nearshore",2009,"ca_comm",1.144,0.023,0.014,1.129,0.012
"Nearshore",2010,"ca_comm",0.851,0.002,0.001,0.85,0.001
"Nearshore",2011,"ca_comm",0.937,0,0,0.937,0
