"Year","GeiCol_Nfish","MilGei_Nfish","MilGot_Nfish","ROV_Nfish","deb_Nfish","mrfss_Nfish","pacfin_Nfish","recfin_Nfish","trawl_Nfish","triennial_Nfish","GeiCol_Ntrip","MilGei_Ntrip","MilGot_Ntrip","ROV_Ntrip","deb_Ntrip","mrfss_Ntrip","pacfin_Ntrip","recfin_Ntrip","trawl_Ntrip","triennial_Ntrip"
1959,NA,34,11,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA
1960,NA,23,22,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1980,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,28,1,NA,NA,NA,NA,NA,NA,NA,NA,21,1,NA,NA,NA
1985,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA
1987,NA,NA,NA,NA,4,8,1,NA,NA,NA,NA,NA,NA,NA,3,6,1,NA,NA,NA
1988,NA,NA,NA,NA,87,7,NA,NA,NA,NA,NA,NA,NA,NA,19,6,NA,NA,NA,NA
1989,NA,NA,NA,NA,107,49,NA,NA,NA,NA,NA,NA,NA,NA,29,43,NA,NA,NA,NA
1990,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,6,NA,158,NA,NA,NA,NA,NA,NA,NA,5,NA,7,NA,NA,NA
1992,29,NA,NA,NA,43,NA,260,NA,NA,NA,9,NA,NA,NA,18,NA,32,NA,NA,NA
1993,112,NA,NA,NA,61,56,97,NA,NA,NA,57,NA,NA,NA,24,39,14,NA,NA,NA
1994,125,NA,NA,NA,22,28,287,NA,NA,NA,46,NA,NA,NA,14,17,21,NA,NA,NA
1995,35,NA,NA,NA,164,15,126,NA,NA,NA,11,NA,NA,NA,27,12,17,NA,NA,NA
1996,139,NA,NA,NA,104,43,132,NA,NA,NA,46,NA,NA,NA,26,37,22,NA,NA,NA
1997,105,NA,NA,NA,73,8,150,NA,NA,NA,39,NA,NA,NA,30,4,21,NA,NA,NA
1998,55,NA,NA,NA,45,8,16,NA,NA,NA,24,NA,NA,NA,15,7,3,NA,NA,NA
1999,NA,NA,NA,NA,NA,72,580,NA,NA,NA,NA,NA,NA,NA,NA,47,50,NA,NA,NA
2000,NA,NA,NA,NA,NA,46,41,NA,NA,NA,NA,NA,NA,NA,NA,32,12,NA,NA,NA
2001,NA,NA,NA,NA,NA,32,322,NA,NA,1,NA,NA,NA,NA,NA,22,33,NA,NA,1
2002,NA,NA,NA,NA,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA
2003,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,14,120,NA,NA,NA,NA,NA,NA,NA,NA,4,40,NA,NA
2005,NA,NA,NA,NA,NA,NA,16,215,NA,NA,NA,NA,NA,NA,NA,NA,2,91,NA,NA
