"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Base",122,676.79,-25.79,170.91,510.86
"Alt com blocks",122,680.44,-25.76,174.55,510.64
"No blocks",115,704.64,-19.68,191.55,509.45
"ROV and CCFRP Domed",124,676,-25.83,170.5,510.48
"Rec Domed",124,676.62,-25.84,170.75,510.82
"ROV and CCFRP and Rec Domed",126,675.22,-26.08,169.83,510.64
"Alt rec blocks domed",129,676.35,-25.91,170.53,510.94
"Alt rec blocks, ROV and CCFRP domed",131,674.8,-25.91,169.25,510.32
"Last com block asymptotic",121,677.26,-25.79,171.55,510.7
"All com block asymptotic",120,679.67,-25.56,173.77,509.81
