District,Month,Wave3,Year,Year:District,df,Log-Likelihood,AICc,Delta
+,+,--,+,+,63,-9820.6,19768.4,0
+,+,+,+,+,63,-9820.6,19768.4,0
+,--,+,+,+,57,-9832,19779.1,10.7
+,--,--,+,+,55,-9856.2,19823.4,55.1
+,+,--,+,--,29,-9922.8,19903.8,135.4
+,+,+,+,--,29,-9922.8,19903.8,135.4
+,--,+,+,--,23,-9938.8,19923.9,155.5
+,--,--,+,--,21,-9962.9,19968,199.6
--,+,--,+,--,27,-10016.1,20086.5,318.1
--,+,+,+,--,27,-10016.1,20086.5,318.1
--,--,+,+,--,21,-10039.4,20121,352.6
--,--,--,+,--,19,-10064.8,20167.8,399.4
