"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80"
1916,44.9952,42.033,39.2698,36.6882,34.2763,32.023,29.9178,27.951,26.1136,24.3969,22.793,21.2946,19.8947,18.5869,17.365,16.2234,15.1569,14.1605,13.2296,12.3599,11.5473,10.7882,10.079,9.41642,8.79739,8.21905,7.67873,7.17394,6.70233,6.26172,5.85008,5.4655,5.1062,4.77052,4.45691,4.16391,3.89018,3.63444,3.39551,3.17229,2.96375,2.76891,2.58689,2.41683,2.25794,2.10951,1.97083,1.84127,1.72022,1.60714,1.50149,1.40278,1.31056,1.2244,1.14391,1.06871,0.998456,0.932818,0.871495,0.814203,0.760678,0.710671,0.663952,0.620304,0.579526,0.541428,0.505835,0.472581,0.441514,0.412489,0.385372,0.360038,0.336369,0.314257,0.293598,0.274297,0.256264,0.239418,0.223679,0.208974,2.96984
1917,44.995,42.0372,39.2698,36.6882,34.2763,32.0229,29.9177,27.9507,26.1131,24.3963,22.7924,21.294,19.8941,18.5862,17.3643,16.2228,15.1563,14.16,13.2291,12.3594,11.5469,10.7878,10.0787,9.4161,8.7971,8.21879,7.67849,7.17371,6.70212,6.26153,5.8499,5.46533,5.10604,4.77038,4.45677,4.16379,3.89006,3.63433,3.39541,3.1722,2.96366,2.76883,2.58681,2.41676,2.25788,2.10945,1.97077,1.84122,1.72018,1.60709,1.50144,1.40274,1.31052,1.22437,1.14388,1.06868,0.998428,0.932792,0.871471,0.814181,0.760657,0.710651,0.663934,0.620287,0.57951,0.541413,0.505821,0.472568,0.441502,0.412478,0.385362,0.360028,0.33636,0.314248,0.293589,0.274289,0.256257,0.239411,0.223672,0.208968,2.96976
1918,44.9947,42.0371,39.2737,36.6882,34.2763,32.0228,29.9174,27.9503,26.1124,24.3954,22.7913,21.2927,19.8928,18.5849,17.3631,16.2216,15.1552,14.1589,13.2281,12.3585,11.5461,10.7871,10.078,9.41545,8.7965,8.21823,7.67798,7.17325,6.70169,6.26113,5.84953,5.46499,5.10573,4.77008,4.4565,4.16354,3.88983,3.63412,3.39521,3.17201,2.96349,2.76867,2.58666,2.41662,2.25775,2.10933,1.97066,1.84111,1.72008,1.607,1.50136,1.40266,1.31045,1.2243,1.14381,1.06862,0.99837,0.932738,0.87142,0.814134,0.760613,0.710611,0.663895,0.620251,0.579476,0.541382,0.505792,0.472541,0.441476,0.412454,0.385339,0.360007,0.336341,0.31423,0.293573,0.274273,0.256243,0.239397,0.223659,0.208956,2.96959
1919,44.9941,42.0368,39.2736,36.6918,34.2762,32.0226,29.9168,27.9492,26.1108,24.3933,22.7888,21.29,19.8898,18.582,17.3602,16.2188,15.1525,14.1564,13.2258,12.3564,11.5441,10.7853,10.0763,9.41393,8.7951,8.21695,7.6768,7.17216,6.70068,6.2602,5.84868,5.4642,5.105,4.7694,4.45587,4.16295,3.88929,3.63361,3.39474,3.17158,2.96308,2.76829,2.58631,2.41629,2.25744,2.10904,1.97039,1.84086,1.71984,1.60678,1.50115,1.40247,1.31027,1.22414,1.14366,1.06848,0.998237,0.932613,0.871304,0.814025,0.760511,0.710516,0.663807,0.620168,0.579399,0.541309,0.505724,0.472478,0.441417,0.412399,0.385288,0.359959,0.336296,0.314188,0.293533,0.274237,0.256208,0.239365,0.22363,0.208928,2.96919
1920,44.994,42.0362,39.2733,36.6917,34.2797,32.0228,29.9172,27.9498,26.1114,24.3937,22.789,21.29,19.8897,18.5816,17.3597,16.2183,15.152,14.1559,13.2253,12.3559,11.5437,10.7848,10.0759,9.41356,8.79476,8.21664,7.67651,7.17189,6.70044,6.25998,5.84847,5.46401,5.10482,4.76925,4.45573,4.16282,3.88916,3.6335,3.39464,3.17148,2.96299,2.76821,2.58623,2.41621,2.25737,2.10898,1.97033,1.84081,1.71979,1.60673,1.50111,1.40243,1.31023,1.2241,1.14363,1.06845,0.998207,0.932585,0.871278,0.814,0.760488,0.710494,0.663787,0.62015,0.579382,0.541293,0.505709,0.472464,0.441404,0.412387,0.385277,0.359949,0.336286,0.314179,0.293525,0.274228,0.256201,0.239358,0.223623,0.208922,2.96911
1921,44.9938,42.0361,39.2728,36.6915,34.2796,32.026,29.9174,27.95,26.1117,24.3941,22.7892,21.29,19.8894,18.5812,17.3592,16.2176,15.1513,14.1552,13.2246,12.3552,11.543,10.7842,10.0753,9.41305,8.79429,8.21621,7.67612,7.17153,6.70011,6.25968,5.84819,5.46375,5.10459,4.76903,4.45553,4.16263,3.88899,3.63334,3.39449,3.17134,2.96286,2.76809,2.58612,2.41611,2.25728,2.10889,1.97025,1.84073,1.71972,1.60667,1.50105,1.40237,1.31018,1.22405,1.14358,1.0684,0.998166,0.932547,0.871242,0.813967,0.760457,0.710465,0.66376,0.620124,0.579358,0.541271,0.505688,0.472445,0.441386,0.41237,0.385261,0.359934,0.336272,0.314166,0.293513,0.274217,0.25619,0.239349,0.223614,0.208914,2.96899
1922,44.9935,42.0359,39.2726,36.691,34.2794,32.0259,29.9203,27.9499,26.1117,24.394,22.789,21.2896,19.8889,18.5804,17.3583,16.2166,15.1502,14.1541,13.2235,12.3542,11.5421,10.7833,10.0745,9.41229,8.79359,8.21556,7.67553,7.17099,6.69961,6.25922,5.84777,5.46336,5.10423,4.76869,4.45522,4.16235,3.88873,3.63309,3.39426,3.17113,2.96267,2.76791,2.58595,2.41595,2.25713,2.10875,1.97012,1.84061,1.71961,1.60657,1.50095,1.40228,1.3101,1.22397,1.14351,1.06833,0.998103,0.932488,0.871187,0.813916,0.760409,0.71042,0.663718,0.620085,0.579321,0.541237,0.505656,0.472415,0.441358,0.412344,0.385237,0.359911,0.336251,0.314146,0.293494,0.2742,0.256174,0.239333,0.2236,0.2089,2.9688
1923,44.9933,42.0357,39.2725,36.6909,34.2789,32.0257,29.9202,27.9528,26.1118,24.3942,22.7893,21.2898,19.889,18.5803,17.3579,16.2162,15.1496,14.1534,13.2228,12.3535,11.5414,10.7827,10.0739,9.4117,8.79305,8.21506,7.67507,7.17057,6.69922,6.25886,5.84744,5.46307,5.10395,4.76844,4.45498,4.16213,3.88853,3.63291,3.39409,3.17097,2.96252,2.76777,2.58582,2.41584,2.25702,2.10865,1.97003,1.84052,1.71953,1.60649,1.50088,1.40221,1.31003,1.22391,1.14345,1.06828,0.998056,0.932444,0.871146,0.813878,0.760374,0.710387,0.663687,0.620056,0.579294,0.541212,0.505633,0.472393,0.441338,0.412325,0.385219,0.359895,0.336235,0.314131,0.29348,0.274187,0.256162,0.239322,0.223589,0.208891,2.96866
1924,44.9933,42.0355,39.2723,36.6907,34.2788,32.0254,29.9203,27.9531,26.115,24.395,22.7902,21.2908,19.8899,18.5811,17.3585,16.2165,15.1498,14.1534,13.2227,12.3533,11.5412,10.7825,10.0737,9.41147,8.79283,8.21486,7.67488,7.17039,6.69907,6.25872,5.84731,5.46295,5.10384,4.76835,4.4549,4.16205,3.88845,3.63284,3.39403,3.17092,2.96247,2.76772,2.58578,2.4158,2.25699,2.10862,1.97,1.84049,1.7195,1.60646,1.50086,1.40219,1.31001,1.22389,1.14344,1.06827,0.998041,0.93243,0.871133,0.813865,0.760362,0.710377,0.663677,0.620047,0.579286,0.541204,0.505625,0.472386,0.441331,0.412318,0.385213,0.359889,0.33623,0.314127,0.293476,0.274183,0.256158,0.239319,0.223586,0.208888,2.96862
1925,44.9932,42.0355,39.2721,36.6905,34.2787,32.0252,29.9198,27.9529,26.1149,24.3974,22.7904,21.2911,19.8902,18.5814,17.3587,16.2165,15.1496,14.1531,13.2223,12.3528,11.5406,10.7819,10.0731,9.41096,8.79234,8.2144,7.67446,7.17001,6.69871,6.25839,5.84701,5.46267,5.10359,4.76811,4.45468,4.16186,3.88827,3.63268,3.39388,3.17078,2.96234,2.7676,2.58567,2.41569,2.25689,2.10853,1.96991,1.84042,1.71943,1.6064,1.50079,1.40213,1.30996,1.22384,1.14339,1.06822,0.998,0.932392,0.871097,0.813832,0.760331,0.710347,0.66365,0.620022,0.579262,0.541182,0.505605,0.472366,0.441313,0.412302,0.385197,0.359874,0.336217,0.314114,0.293464,0.274172,0.256148,0.239309,0.223577,0.208879,2.9685
