Year,Index,log SE
2017,0.001307414,0.226992058
2018,0.001598487,0.19104319
2019,0.000728312,0.289237325
2020,0.001611895,0.270924014
2021,0.001353912,0.250783145
2022,0.001989733,0.221994937
2023,0.002649328,0.185434063
2024,0.002870138,0.180391247
