" ","Base","Estimate h","Estimate M","Estimate M and h","Start recdevs in 1990","Turn off recdevs"
"Npar","121","122","122","123","71","24"
"TOTAL_like","668.238","667.333","667.198","666.535","674.787","835.608"
"Survey_like","-26.349","-26.569","-26.836","-26.902","-26.837","-4.675"
"Length_comp_like","174.184","173.691","174.521","174.165","180.530","216.518"
"Age_comp_like","500.121","500.147","500.076","500.051","504.338","623.762"
"Recruitment_like","20.280","19.991","19.237","19.018","16.753","0.000"
"Forecast_Recruitment_like","0.000509","0.000507","0.000473","0.00047","0.000405","0.000"
"Parm_priors_like","0.000719","0.0698","0.197","0.201","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","43.416","68.817","63.817","45.020","60.135"
"SR_LN(R0)","3.818","3.771","4.231","4.156","3.807","4.097"
"SR_BH_steep","0.720","0.905","0.720","0.895","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.0816","0.0804","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","42.763","42.819","42.817","42.584","42.003"
"VonBert_K_Fem_GP_1","0.126","0.126","0.126","0.126","0.127","0.135"
"SSB_Virgin","97.832","93.480","104.233","99.843","95.761","126.053"
"SSB_2025","45.426","47.110","64.742","63.691","47.644","71.786"
"Bratio_2025","0.464","0.504","0.621","0.638","0.498","0.569"
"SPRratio_2024","0.0919","0.089","0.0558","0.0576","0.0877","0.0569"
